year_quarter,total_trips,total_duration,avg_duration,unique_bikes,trips_per_bike,avg_unique_bikes,avg_trips_per_bike
2016Q4,0,0.0,,0,,,
2017Q2,220441,4900172.0,22.22895014992674,1127,195.59982253771076,681.0420168067227,2.351110753362668
2017Q3,276785,6061431.0,21.89942012753581,1222,226.50163666121117,783.983870967742,2.479831661042747
2017Q4,183909,3649868.0,19.846054298593327,1198,153.51335559265442,661.096,1.9640938482911994
2018Q1,98993,2044874.0,20.656753507823787,1187,83.39764111204718,462.936,1.5695055411472887
2018Q2,201624,4386306.0,21.75488037138436,1199,168.1601334445371,657.0671641791045,2.031815071730179
2018Q3,228329,5372198.0,23.52832097543457,1379,165.57577955039883,758.2330827067669,2.0336623385403327
2018Q4,142872,2923619.0,20.463204826698025,1406,101.61593172119488,585.9925373134329,1.655768256442168
2019Q1,96593,2016071.0,20.87181265723189,1393,69.34170854271356,444.9323308270677,1.5315546321678188
2019Q2,206354,4885239.0,23.67406980237844,1487,138.77202420981845,736.2189781021898,1.929965034830484
2019Q3,275197,7168296.0,26.047871161386208,1530,179.8673202614379,868.4892086330935,2.108655282414222
2019Q4,166116,3274023.0,19.70925738640468,1431,116.083857442348,624.3472222222222,1.7125555190916095
2020Q1,118190,2404732.0,20.346323716050428,1427,82.82410651716889,496.1118881118881,1.5810013528458522
2020Q2,186586,7320890.0,39.23600913251798,1520,122.75394736842104,612.5902777777778,1.985448407025313
2020Q3,269985,7368593.0,27.292601440820786,1413,191.07218683651809,769.6180555555555,2.2617421410149365
2020Q4,160401,3472531.0,21.649060791391573,1303,123.10130468150422,565.7586206896551,1.8270122591123317
2021Q1,96281,1949225.0,20.24516779011435,1318,73.05083459787556,396.7586206896552,1.6119171594904276
2021Q2,232195,4926025.0,21.21503477680398,1428,162.6015406162465,704.922077922078,1.9774356450669088
2021Q3,300432,5665811.0,18.858879879639986,1559,192.7081462475946,794.7440476190476,2.0467131684507933
2021Q4,222955,3642788.0,16.338669238187077,1451,153.65609924190213,663.7633136094674,1.804812657766664
2022Q1,129073,2120097.0,16.42556537773198,1406,91.80156472261736,434.18857142857144,1.6073071644155026
2022Q2,257350,4913604.0,19.0930794637653,1516,169.75593667546175,697.8121546961326,1.8643320961765795
2022Q3,312379,5584793.0,17.87826006229612,1782,175.29685746352413,822.3076923076923,1.8900688138441206
2022Q4,206988,3164189.0,15.286823390727966,1840,112.49347826086957,638.2094240837696,1.551019731510795
2023Q1,166858,2477737.0,14.849374917594602,1986,84.0171198388721,508.6303317535545,1.4174468872041532
2023Q2,291894,5114154.0,17.520586240210488,2156,135.38682745825602,746.1814159292036,1.5758707211807075
2023Q3,353256,5911949.0,16.735594016803677,2148,164.45810055865925,811.8744769874477,1.6368843383456266
2023Q4,272539,4063115.0,14.908380085052048,2114,128.92100283822137,649.7888446215139,1.5225798082751558
2024Q1,193770,2815704.0,14.531165815141662,2350,82.45531914893617,501.2162162162162,1.3968533436468462
2024Q2,368091,6173146.0,16.77070615690142,2415,152.41863354037267,850.2627450980392,1.5649784301236491
2024Q3,408408,6643286.0,16.266297428062135,2449,166.76521028991425,899.3371647509579,1.5905024801645127
2024Q4,299121,4741820.0,15.852514534252023,2139,139.8415147265077,699.1875,1.5151947690101044
